cost:BRS_usage_scenario;Backupability:BRS_usage_scenario;response time:BRS_usage_scenario;Usability:BRS_usage_scenario;lower bound confidence(response time:BRS_usage_scenario);upper bound confidence(response time:BRS_usage_scenario);alpha(response time:BRS_usage_scenario);ContinuousProcessingRateDegreeImpl:server1:CPU;ContinuousProcessingRateDegreeImpl:server2:CPU;ContinuousProcessingRateDegreeImpl:server3:CPU;ContinuousProcessingRateDegreeImpl:server4:CPU;AssembledComponentDegreeImpl:Assembly_WebServer1 <WebServer1>;AssembledComponentDegreeImpl:Assembly_CoreGraphicEngine <CoreGraphicEngine>;AssembledComponentDegreeImpl:Assembly_Database1 <Database1>;AllocationDegreeImpl:Allocation_Assembly_WebServer1 <WebServer1> <WebServer1>;AllocationDegreeImpl:Allocation_Assembly_UserManagement <UserManagement> <UserManagement>;AllocationDegreeImpl:Allocation_Assembly_Scheduler <Scheduler> <Scheduler>;AllocationDegreeImpl:Allocation_Assembly_OnlineReporting <OnlineReporting> <OnlineReporting>;AllocationDegreeImpl:Allocation_Assembly_GraphicalReporting <GraphicalReporting> <GraphicalReporting>;AllocationDegreeImpl:Allocation_Assembly_CoreOnlineEngine <CoreOnlineEngine> <CoreOnlineEngine>;AllocationDegreeImpl:Allocation_Assembly_CoreGraphicEngine <CoreGraphicEngine> <CoreGraphicEngine>;AllocationDegreeImpl:Allocation_Assembly_CacheInfo <CacheInfo> <CacheInfo>;AllocationDegreeImpl:Allocation_Assembly_Database1 <Database1> <Database1>;Util of server1 CPU;Util of server2 CPU;Util of server3 CPU;Util of server4 CPU;Util of ConnectionForAllServers LAN;Candidate ID;
637.7794367483704;3.0;6.741467667899997;3.0;0.0;Infinity;0.95;50.0;50.0;50.0;50.0;WebServer1 (ID: _6bAEENo5EdyCSNQKlT1LxA);CoreGraphicEngine (ID: _wrGucHqPEd6uqIqMUZizUw);Database1 (ID: _sQC2sNo4EdyCSNQKlT1LxA);server1 (ID: _8-cpgNo_EdyxgfK4Hy_RFA);server2 (ID: _EX6xcdpAEdyxgfK4Hy_RFA);server2 (ID: _EX6xcdpAEdyxgfK4Hy_RFA);server2 (ID: _EX6xcdpAEdyxgfK4Hy_RFA);server2 (ID: _EX6xcdpAEdyxgfK4Hy_RFA);server3 (ID: _U2Nv4dpAEdyxgfK4Hy_RFA);server3 (ID: _U2Nv4dpAEdyxgfK4Hy_RFA);server3 (ID: _U2Nv4dpAEdyxgfK4Hy_RFA);server4 (ID: _L0Dy4dpAEdyxgfK4Hy_RFA);0.010162671074452456;0.01195842881486664;0.05101236777172735;0.15264399869856937;0.002487234816110573;8890;
567.475432897863;3.0;1.7248460815800053;3.0;0.0;Infinity;0.95;334.02248818269555;111.10742252858358;238.45758215799373;140.8642654728942;WebServer1 (ID: _6bAEENo5EdyCSNQKlT1LxA);CoreGraphicEngine (ID: _wrGucHqPEd6uqIqMUZizUw);Database1 (ID: _sQC2sNo4EdyCSNQKlT1LxA);server2 (ID: _EX6xcdpAEdyxgfK4Hy_RFA);server4 (ID: _L0Dy4dpAEdyxgfK4Hy_RFA);server3 (ID: _U2Nv4dpAEdyxgfK4Hy_RFA);server2 (ID: _EX6xcdpAEdyxgfK4Hy_RFA);server2 (ID: _EX6xcdpAEdyxgfK4Hy_RFA);server4 (ID: _L0Dy4dpAEdyxgfK4Hy_RFA);server3 (ID: _U2Nv4dpAEdyxgfK4Hy_RFA);server3 (ID: _U2Nv4dpAEdyxgfK4Hy_RFA);server3 (ID: _U2Nv4dpAEdyxgfK4Hy_RFA);NaN;0.0088674140248729;0.034821178389868646;0.014911545207680121;NaN;8891;
2647.3344116248545;1.0;0.6568452044000027;3.0;0.0;Infinity;0.95;187.205604002546;213.2572236829912;493.0239135857725;259.3723574587119;WebServer1 (ID: _6bAEENo5EdyCSNQKlT1LxA);CoreGraphicEngine (ID: _wrGucHqPEd6uqIqMUZizUw);Database2 (ID: _sQC2sNo4EeyCSNQKlT1LxA);server1 (ID: _8-cpgNo_EdyxgfK4Hy_RFA);server2 (ID: _EX6xcdpAEdyxgfK4Hy_RFA);server1 (ID: _8-cpgNo_EdyxgfK4Hy_RFA);server2 (ID: _EX6xcdpAEdyxgfK4Hy_RFA);server3 (ID: _U2Nv4dpAEdyxgfK4Hy_RFA);server4 (ID: _L0Dy4dpAEdyxgfK4Hy_RFA);server3 (ID: _U2Nv4dpAEdyxgfK4Hy_RFA);server4 (ID: _L0Dy4dpAEdyxgfK4Hy_RFA);server4 (ID: _L0Dy4dpAEdyxgfK4Hy_RFA);0.0033235193843391686;5.03787861623084E-4;0.0016146635825100564;0.016889486974175583;NaN;8892;
2641.941418834933;1.0;1.3937227348399945;3.0;0.0;Infinity;0.95;415.25154718570536;324.84501909319295;288.4278471242614;77.42889893919573;WebServer1 (ID: _6bAEENo5EdyCSNQKlT1LxA);CoreOnlineEngine (ID: _P48uoGo2Ed631pecjlFspw);Database2 (ID: _sQC2sNo4EeyCSNQKlT1LxA);server4 (ID: _L0Dy4dpAEdyxgfK4Hy_RFA);server3 (ID: _U2Nv4dpAEdyxgfK4Hy_RFA);server4 (ID: _L0Dy4dpAEdyxgfK4Hy_RFA);server2 (ID: _EX6xcdpAEdyxgfK4Hy_RFA);server2 (ID: _EX6xcdpAEdyxgfK4Hy_RFA);server4 (ID: _L0Dy4dpAEdyxgfK4Hy_RFA);server2 (ID: _EX6xcdpAEdyxgfK4Hy_RFA);server1 (ID: _8-cpgNo_EdyxgfK4Hy_RFA);server2 (ID: _EX6xcdpAEdyxgfK4Hy_RFA);1.0796499344623012E-4;0.009680804409065824;4.24152192286531E-5;0.034961434867132435;0.002569253897889423;8893;
689.7264260454322;3.0;2.1834707705399916;3.0;0.0;Infinity;0.95;42.35811064119338;150.63183705785872;242.69094305461795;216.1302794751786;WebServer1 (ID: _6bAEENo5EdyCSNQKlT1LxA);CoreOnlineEngine (ID: _P48uoGo2Ed631pecjlFspw);Database1 (ID: _sQC2sNo4EdyCSNQKlT1LxA);server1 (ID: _8-cpgNo_EdyxgfK4Hy_RFA);server4 (ID: _L0Dy4dpAEdyxgfK4Hy_RFA);server3 (ID: _U2Nv4dpAEdyxgfK4Hy_RFA);server1 (ID: _8-cpgNo_EdyxgfK4Hy_RFA);server1 (ID: _8-cpgNo_EdyxgfK4Hy_RFA);server2 (ID: _EX6xcdpAEdyxgfK4Hy_RFA);server4 (ID: _L0Dy4dpAEdyxgfK4Hy_RFA);server2 (ID: _EX6xcdpAEdyxgfK4Hy_RFA);server3 (ID: _U2Nv4dpAEdyxgfK4Hy_RFA);0.02325270124703549;0.014208407883632646;0.03224228364440618;0.0019426054438238527;0.0025154147734849364;8894;
638.4884209150335;3.0;1.3894462038800053;3.0;0.0;Infinity;0.95;224.2038358074148;414.77114174009466;469.09280548146035;81.37634608982358;WebServer1 (ID: _6bAEENo5EdyCSNQKlT1LxA);CoreGraphicEngine (ID: _wrGucHqPEd6uqIqMUZizUw);Database1 (ID: _sQC2sNo4EdyCSNQKlT1LxA);server1 (ID: _8-cpgNo_EdyxgfK4Hy_RFA);server1 (ID: _8-cpgNo_EdyxgfK4Hy_RFA);server2 (ID: _EX6xcdpAEdyxgfK4Hy_RFA);server2 (ID: _EX6xcdpAEdyxgfK4Hy_RFA);server3 (ID: _U2Nv4dpAEdyxgfK4Hy_RFA);server3 (ID: _U2Nv4dpAEdyxgfK4Hy_RFA);server1 (ID: _8-cpgNo_EdyxgfK4Hy_RFA);server2 (ID: _EX6xcdpAEdyxgfK4Hy_RFA);server1 (ID: _8-cpgNo_EdyxgfK4Hy_RFA);0.03880517574374065;6.068211759424624E-4;0.005269988457439867;NaN;0.0025348640859518268;8895;
770.3795416312162;3.0;1.1047009585999936;3.0;0.0;Infinity;0.95;302.5739393340426;319.60909773996514;314.1979972234934;416.9140723156388;WebServer1 (ID: _6bAEENo5EdyCSNQKlT1LxA);CoreOnlineEngine (ID: _P48uoGo2Ed631pecjlFspw);Database1 (ID: _sQC2sNo4EdyCSNQKlT1LxA);server4 (ID: _L0Dy4dpAEdyxgfK4Hy_RFA);server1 (ID: _8-cpgNo_EdyxgfK4Hy_RFA);server3 (ID: _U2Nv4dpAEdyxgfK4Hy_RFA);server4 (ID: _L0Dy4dpAEdyxgfK4Hy_RFA);server1 (ID: _8-cpgNo_EdyxgfK4Hy_RFA);server4 (ID: _L0Dy4dpAEdyxgfK4Hy_RFA);server3 (ID: _U2Nv4dpAEdyxgfK4Hy_RFA);server2 (ID: _EX6xcdpAEdyxgfK4Hy_RFA);server1 (ID: _8-cpgNo_EdyxgfK4Hy_RFA);0.02666618453257885;1.4116151499909968E-4;0.0016733959502942541;0.006482096938738469;0.0025842023317922402;8896;
2091.5211092886266;3.0;2.4043071649200103;3.0;0.0;Infinity;0.95;187.28497922470365;233.12154547550665;83.39386547457997;163.62011463282863;WebServer2 (ID: _6bAEENo5EdyCSNQKlT1LxA2);CoreOnlineEngine (ID: _P48uoGo2Ed631pecjlFspw);Database1 (ID: _sQC2sNo4EdyCSNQKlT1LxA);server1 (ID: _8-cpgNo_EdyxgfK4Hy_RFA);server3 (ID: _U2Nv4dpAEdyxgfK4Hy_RFA);server4 (ID: _L0Dy4dpAEdyxgfK4Hy_RFA);server3 (ID: _U2Nv4dpAEdyxgfK4Hy_RFA);server4 (ID: _L0Dy4dpAEdyxgfK4Hy_RFA);server3 (ID: _U2Nv4dpAEdyxgfK4Hy_RFA);server2 (ID: _EX6xcdpAEdyxgfK4Hy_RFA);server2 (ID: _EX6xcdpAEdyxgfK4Hy_RFA);server4 (ID: _L0Dy4dpAEdyxgfK4Hy_RFA);5.98456771686795E-4;0.0019600686971559256;0.026301429400083176;0.05024936796725343;0.002539533784453818;8897;
3900.243830467162;1.0;0.7071240753400095;2.0;0.0;Infinity;0.95;208.13518059914009;359.4963663917745;207.80226823747563;107.88019042181918;WebServer2 (ID: _6bAEENo5EdyCSNQKlT1LxA2);CoreGraphicEngine (ID: _wrGucHqPEd6uqIqMUZizUw);Database2 (ID: _sQC2sNo4EeyCSNQKlT1LxA);server2 (ID: _EX6xcdpAEdyxgfK4Hy_RFA);server3 (ID: _U2Nv4dpAEdyxgfK4Hy_RFA);server2 (ID: _EX6xcdpAEdyxgfK4Hy_RFA);server3 (ID: _U2Nv4dpAEdyxgfK4Hy_RFA);server3 (ID: _U2Nv4dpAEdyxgfK4Hy_RFA);server3 (ID: _U2Nv4dpAEdyxgfK4Hy_RFA);server1 (ID: _8-cpgNo_EdyxgfK4Hy_RFA);server3 (ID: _U2Nv4dpAEdyxgfK4Hy_RFA);server2 (ID: _EX6xcdpAEdyxgfK4Hy_RFA);0.0019949360368352043;0.0068987321717668415;0.012623419811187864;NaN;0.00252340980406518;8898;
2661.5527855664736;1.0;0.9758509768399968;3.0;0.0;Infinity;0.95;492.49408203245383;415.9739904437197;135.05185270094387;233.00409150566765;WebServer1 (ID: _6bAEENo5EdyCSNQKlT1LxA);CoreGraphicEngine (ID: _wrGucHqPEd6uqIqMUZizUw);Database2 (ID: _sQC2sNo4EeyCSNQKlT1LxA);server4 (ID: _L0Dy4dpAEdyxgfK4Hy_RFA);server1 (ID: _8-cpgNo_EdyxgfK4Hy_RFA);server1 (ID: _8-cpgNo_EdyxgfK4Hy_RFA);server2 (ID: _EX6xcdpAEdyxgfK4Hy_RFA);server4 (ID: _L0Dy4dpAEdyxgfK4Hy_RFA);server3 (ID: _U2Nv4dpAEdyxgfK4Hy_RFA);server2 (ID: _EX6xcdpAEdyxgfK4Hy_RFA);server2 (ID: _EX6xcdpAEdyxgfK4Hy_RFA);server4 (ID: _L0Dy4dpAEdyxgfK4Hy_RFA);2.526139528229443E-4;0.0013362061483981336;0.015625039786565376;0.013404831238822301;0.002551551181236067;8899;
