cost:RealisticUsageScenario;response time:RealisticUsageScenario;POFOD:RealisticUsageScenario;lower bound confidence(response time:RealisticUsageScenario);upper bound confidence(response time:RealisticUsageScenario);alpha(response time:RealisticUsageScenario);ContinuousProcessingRateDegreeImpl:Server1:CPU;ContinuousProcessingRateDegreeImpl:Server1:HDD;ContinuousProcessingRateDegreeImpl:Server2:CPU;ContinuousProcessingRateDegreeImpl:Server2:HDD;AllocationDegreeImpl:Allocation_Assembly_FileStorage <FileStorage> <FileStorage>;AllocationDegreeImpl:Allocation_Assembly_Packaging <Packaging> <Packaging>;AllocationDegreeImpl:Allocation_Assembly_MediaAccess <MediaAccess> <MediaAccess>;AllocationDegreeImpl:Allocation_Assembly_MediaManagement <MediaManagement> <MediaManagement>;ConcernDegreeImpl:ConcernModel.impl.ConcernImpl@6c9b5272 (name: IDS, description: null);AllocationDegreeImpl:ConcernModel.impl.ElementaryConcernComponentImpl@1b777f4a (name: Detection, description: null);AllocationDegreeImpl:ConcernModel.impl.ElementaryConcernComponentImpl@383deadc (name: Analysis, description: null);AllocationDegreeImpl:ConcernModel.impl.ElementaryConcernComponentImpl@18105fbe (name: Response, description: null);Util of Server1 CPU;Util of Server1 HDD;Util of Server2 CPU;Util of Server2 HDD;Util of Network LAN;Candidate ID;
75080.74154210949;13.764431149144986;4.224562490628969E-5;0.0;Infinity;0.95;2.1949219946668906E9;8.7610646249748E8;2.6504607748070755E9;4.6526084700238E10;Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);ossec_extended (ID: _KsE3sK_GEeaFof9L2wGlaQ);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);0.02074331262916329;0.016196341545941073;7.017339868409245E-6;NaN;0.3364073115424032;1;
202418.49084956653;4.963351008403049;3.3995897085636884E-5;0.0;Infinity;0.95;9.735806050708168E9;4.718318616978942E8;3.372093339262933E9;5.694955455225482E10;Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);AppSensor (ID: _VYStANVwEeWS-LePWVyd9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);NaN;NaN;0.012674031241678096;2.2885346775403104E-4;0.15909220589479267;2;
251345.80509614927;4.786633554680996;3.0990245649120673E-5;0.0;Infinity;0.95;8.02257339972865E9;2.598372335724045E9;8.5738136066813E9;8.1658849310254755E9;Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);ossec_extended (ID: _KsE3sK_GEeaFof9L2wGlaQ);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);0.0027661503050285807;NaN;0.0022109192653885223;0.0015177246481250517;0.15988793285329372;17;
170641.03309681301;5.206653906563007;3.3894114180088586E-5;0.0;Infinity;0.95;3.882708404822952E9;3.67907902970976E9;7.333360468297916E9;2.5292440900141808E10;Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);ossec_extended (ID: _KsE3sK_GEeaFof9L2wGlaQ);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);0.011147460393720277;0.0036006786008497826;2.765616199718046E-6;NaN;0.1649516657581913;19;
163905.30538637625;16.165950075244005;3.47735671948346E-5;0.0;Infinity;0.95;7.226474104884028E9;9.386595801967444E8;3.313879587541055E9;2.9338233303394344E10;Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);AppSensor (ID: _VYStANVwEeWS-LePWVyd9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);0.005930934415729783;0.013719921950470004;1.1204778405882188E-5;NaN;0.39621557957516207;20;
177974.89847773119;5.324972000046974;3.3184108691575176E-5;0.0;Infinity;0.95;4.873489153890975E9;9.547087240616764E8;6.604837411291103E9;4.5294545658434906E10;Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);AppSensor (ID: _VYStANVwEeWS-LePWVyd9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);0.008659895219490843;0.01356007364339673;NaN;NaN;0.1580011912053374;27;
65052.29679459812;5.064687715894021;5.268754034815082E-5;0.0;Infinity;0.95;9.542310752826803E8;3.273255060623229E9;2.9959220443571944E9;2.245410850789547E10;Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);AppSensor (ID: _VYStANVwEeWS-LePWVyd9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);0.025197723893431778;NaN;0.006850099181060276;6.078130823081729E-4;0.15108943177536893;28;
201619.68545890824;17.24020271540404;3.249607731592441E-5;0.0;Infinity;0.95;5.012731892992974E9;4.06689468575872E9;8.268580470934241E9;4.404370213300897E9;Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);ossec_extended (ID: _KsE3sK_GEeaFof9L2wGlaQ);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);0.004666655309172429;NaN;0.002437049945607561;0.0029907022613081535;0.41940384532127717;29;
195762.15737522533;5.1228486214059865;3.337834395356065E-5;0.0;Infinity;0.95;8.692077643606272E9;1.4561671141677458E9;3.972066181408749E9;4.533497789540805E10;Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);AppSensor (ID: _VYStANVwEeWS-LePWVyd9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);2.149980684928998E-6;NaN;0.011312122130263225;3.0606689465983994E-4;0.166736401975633;30;
203556.77442054532;11.145225127098008;3.281977200531028E-5;0.0;Infinity;0.95;4.420712914995388E9;2.4997708425831013E9;8.989738713040966E9;4.9642739838103455E10;Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);ossec_extended (ID: _KsE3sK_GEeaFof9L2wGlaQ);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);8.449781415675872E-6;NaN;0.005057861497988925;2.780334656619088E-4;0.3107468131879867;31;
