cost:RealisticUsageScenario;response time:RealisticUsageScenario;POFOD:RealisticUsageScenario;lower bound confidence(response time:RealisticUsageScenario);upper bound confidence(response time:RealisticUsageScenario);alpha(response time:RealisticUsageScenario);ContinuousProcessingRateDegreeImpl:Server1:CPU;ContinuousProcessingRateDegreeImpl:Server1:HDD;ContinuousProcessingRateDegreeImpl:Server2:CPU;ContinuousProcessingRateDegreeImpl:Server2:HDD;AllocationDegreeImpl:Allocation_Assembly_FileStorage <FileStorage> <FileStorage>;AllocationDegreeImpl:Allocation_Assembly_Packaging <Packaging> <Packaging>;AllocationDegreeImpl:Allocation_Assembly_MediaAccess <MediaAccess> <MediaAccess>;AllocationDegreeImpl:Allocation_Assembly_MediaManagement <MediaManagement> <MediaManagement>;ConcernDegreeImpl:ConcernModel.impl.ConcernImpl@5a632d4f (name: IDS, description: null);AllocationDegreeImpl:ConcernModel.impl.ElementaryConcernComponentImpl@3a6ef6de (name: Detection, description: null);AllocationDegreeImpl:ConcernModel.impl.ElementaryConcernComponentImpl@2a82a996 (name: Analysis, description: null);AllocationDegreeImpl:ConcernModel.impl.ElementaryConcernComponentImpl@6717621e (name: Response, description: null);Util of Server1 CPU;Util of Server1 HDD;Util of Server2 CPU;Util of Server2 HDD;Util of Network LAN;Candidate ID;
148300.0;2.063760481186937;6.44494319278488E-5;0.0;Infinity;0.95;1.0E9;5.0E7;1.0E9;6.0E8;Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);AppSensor (ID: _VYStANVwEeWS-LePWVyd9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);0.023894284391279164;NaN;0.019929248149483714;0.02264111816869052;0.013738300879681864;0;
142150.1310414401;6.954626936876984;3.793106394478496E-5;0.0;Infinity;0.95;7.174040115092712E9;1.5674114504545906E9;2.1426352876699615E9;1.6403060567976469E10;Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);ossec_extended (ID: _KsE3sK_GEeaFof9L2wGlaQ);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);0.06383094627468411;0.00871925844579824;0.011386201344553482;NaN;0.1560486747088976;1;
245862.12729648815;4.602672910209941;3.5601171567090084E-5;0.0;Infinity;0.95;4.956733283493915E9;3.2615976855062604E9;3.547408536271962E9;1.4093411969211193E10;Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);AppSensor (ID: _VYStANVwEeWS-LePWVyd9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);0.004914205635263791;NaN;0.005908969381063445;9.801038238832493E-4;0.15242486442671033;2;
335185.2182563762;4.459725233196955;3.1762759240550054E-5;0.0;Infinity;0.95;8.215486629181864E9;4.005827526292942E9;6.243527921243217E9;2.5281017730857933E10;Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);AppSensor (ID: _VYStANVwEeWS-LePWVyd9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);0.00304999619043822;NaN;0.0034431737870735946;5.589789400922696E-4;0.1550257260778447;3;
407458.01306251204;5.0125962324200275;3.0352964012547723E-5;0.0;Infinity;0.95;9.280464605237772E9;4.438281126001015E9;9.996736265596361E9;2.1450248402229828E10;Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);AppSensor (ID: _VYStANVwEeWS-LePWVyd9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);0.005129359366660258;0.003282993915185606;NaN;NaN;0.17422183660290014;4;
359372.8805995002;10.663694940193006;3.127586265860849E-5;0.0;Infinity;0.95;9.401908836595713E9;9.831902885922018E8;6.669616536704302E9;2.3034501246851044E10;Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);AppSensor (ID: _VYStANVwEeWS-LePWVyd9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);0.0023480691412114396;NaN;0.0027977174782355396;5.388572818268988E-4;0.28843653176385786;5;
284822.5251431528;33.47475167573102;3.4313813207287325E-5;0.0;Infinity;0.95;7.581259462857575E9;1.829221846511172E9;3.520242213352614E9;2.2118464743009705E10;Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);AppSensor (ID: _VYStANVwEeWS-LePWVyd9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);2.5616725847221744E-6;NaN;0.012387890540710322;5.941898160656267E-4;0.5654960200901253;6;
127700.55201322034;8540.16582929514;8.008938499859397E-5;0.0;Infinity;0.95;7.982570284486158E9;3.6310883615050373E9;3.707998497285306E8;3.2177233110507748E10;Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);ossec_extended (ID: _KsE3sK_GEeaFof9L2wGlaQ);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);0.0016082705361251115;0.0023453098492136615;0.9999758159501085;NaN;0.26972077291440233;7;
247365.7194992878;2.4474078517040496;3.1143071616224205E-5;0.0;Infinity;0.95;9.248200891586147E9;3.243360988700062E9;7.08284707503304E9;5.425100706077117E9;Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);ossec_extended (ID: _KsE3sK_GEeaFof9L2wGlaQ);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);0.0023431745128852377;0.004375277476992401;0.06776269729314421;NaN;0.02086170361661066;8;
29867.137024370535;28.515874100350906;1.0335082254742112E-4;0.0;Infinity;0.95;1.536513478853491E9;5.733406471202177E7;2.946289894378778E8;3.3279345791880356E10;Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);ossec_extended (ID: _KsE3sK_GEeaFof9L2wGlaQ);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);0.28034699617008496;0.22397805288482064;0.07728427235082713;NaN;0.25845747431533006;9;
